timestamp,condition,camPos,camPos-X,camPos-Y,camPos-Z,camDir,camDir-X,camDir-Y,camDir-Z,task,user
636056668604241853,SpatialInputCamera,CameraPosition,646.7549,643.0642,-1424.826,CameraDirection,-0.007707293,-0.486581,0.8736012,NT,user-01
636056668604397979,SpatialInputCamera,CameraPosition,646.7549,643.0642,-1424.826,CameraDirection,-0.007707293,-0.486581,0.8736012,NT,user-01
636056668604554343,SpatialInputCamera,CameraPosition,647.2382,642.9849,-1424.447,CameraDirection,-0.01511595,-0.486598,0.8734953,NT,user-01
636056668604710638,SpatialInputCamera,CameraPosition,647.4428,642.909,-1424.039,CameraDirection,-0.01923333,-0.4871479,0.8731077,NT,user-01
636056668604866690,SpatialInputCamera,CameraPosition,647.4428,642.909,-1424.039,CameraDirection,-0.01923333,-0.4871479,0.8731077,NT,user-01
636056668605022944,SpatialInputCamera,CameraPosition,647.9387,642.7944,-1423.056,CameraDirection,-0.02707169,-0.4903965,0.871079,NT,user-01
636056668605179189,SpatialInputCamera,CameraPosition,648.0918,642.5524,-1422.136,CameraDirection,-0.03145438,-0.4959466,0.8677835,NT,user-01
636056668605335443,SpatialInputCamera,CameraPosition,648.0605,642.4711,-1421.867,CameraDirection,-0.03190403,-0.4969125,0.8672141,NT,user-01
636056668605491889,SpatialInputCamera,CameraPosition,648.0605,642.4711,-1421.867,CameraDirection,-0.03190403,-0.4969125,0.8672141,NT,user-01
636056668605648143,SpatialInputCamera,CameraPosition,647.6661,642.0083,-1420.781,CameraDirection,-0.03081189,-0.5011162,0.8648315,NT,user-01
636056668605804195,SpatialInputCamera,CameraPosition,647.3055,641.6533,-1420.156,CameraDirection,-0.0284913,-0.5027646,0.8639539,NT,user-01
636056668605960445,SpatialInputCamera,CameraPosition,647.3055,641.6533,-1420.156,CameraDirection,-0.0284913,-0.5027646,0.8639539,NT,user-01
636056668606116699,SpatialInputCamera,CameraPosition,646.2449,641.2416,-1419.281,CameraDirection,-0.02306577,-0.5101078,0.8598012,NT,user-01
636056668606273145,SpatialInputCamera,CameraPosition,646.2449,641.2416,-1419.281,CameraDirection,-0.02306577,-0.5101078,0.8598012,NT,user-01
636056668606429206,SpatialInputCamera,CameraPosition,644.7632,640.9194,-1418.461,CameraDirection,-0.01763468,-0.5163966,0.8561681,NT,user-01
636056668606741832,SpatialInputCamera,CameraPosition,643.9149,640.7684,-1418.192,CameraDirection,-0.01538481,-0.5186502,0.8548483,NT,user-01
636056668606897958,SpatialInputCamera,CameraPosition,643.9149,640.7684,-1418.192,CameraDirection,-0.01538481,-0.5186502,0.8548483,NT,user-01
636056668607054290,SpatialInputCamera,CameraPosition,642.6122,640.5951,-1417.879,CameraDirection,-0.01316037,-0.5210666,0.8534148,NT,user-01
636056668607210650,SpatialInputCamera,CameraPosition,641.7244,640.6659,-1417.835,CameraDirection,-0.01198141,-0.523545,0.851914,NT,user-01
636056668607366727,SpatialInputCamera,CameraPosition,641.7244,640.6659,-1417.835,CameraDirection,-0.01198141,-0.523545,0.851914,NT,user-01
636056668607522981,SpatialInputCamera,CameraPosition,639.4974,640.8156,-1417.761,CameraDirection,-0.008875735,-0.5272325,0.8496748,NT,user-01
636056668607679226,SpatialInputCamera,CameraPosition,639.4974,640.8156,-1417.761,CameraDirection,-0.008875735,-0.5272325,0.8496748,NT,user-01
636056668607835652,SpatialInputCamera,CameraPosition,636.8906,641.4657,-1417.865,CameraDirection,-0.008515817,-0.529283,0.8484026,NT,user-01
636056668607991733,SpatialInputCamera,CameraPosition,635.4642,641.929,-1417.997,CameraDirection,-0.009256493,-0.5293329,0.8483638,NT,user-01
636056668608148159,SpatialInputCamera,CameraPosition,633.2895,642.6337,-1418.291,CameraDirection,-0.01049493,-0.5289164,0.848609,NT,user-01
636056668608304413,SpatialInputCamera,CameraPosition,631.7627,643.2088,-1418.501,CameraDirection,-0.0113068,-0.5290424,0.8485203,NT,user-01
636056668608460667,SpatialInputCamera,CameraPosition,631.7627,643.2088,-1418.501,CameraDirection,-0.0113068,-0.5290424,0.8485203,NT,user-01
636056668608616916,SpatialInputCamera,CameraPosition,628.5979,644.1601,-1418.855,CameraDirection,-0.01374227,-0.5280135,0.8491253,NT,user-01
636056668608773157,SpatialInputCamera,CameraPosition,628.5979,644.1601,-1418.855,CameraDirection,-0.01374227,-0.5280135,0.8491253,NT,user-01
636056668609085574,SpatialInputCamera,CameraPosition,625.5074,645.2261,-1419.025,CameraDirection,-0.01852053,-0.5268812,0.8497374,NT,user-01
636056668609241832,SpatialInputCamera,CameraPosition,623.9445,645.7403,-1418.977,CameraDirection,-0.02133781,-0.5265979,0.849847,NT,user-01
636056668609398131,SpatialInputCamera,CameraPosition,623.9445,645.7403,-1418.977,CameraDirection,-0.02133781,-0.5265979,0.849847,NT,user-01
636056668609554319,SpatialInputCamera,CameraPosition,621.5465,646.4835,-1418.753,CameraDirection,-0.02498478,-0.5271413,0.8494102,NT,user-01
